YearMonth,Imperial Terminal,Misc. Terminal,Terminal 1,Terminal 2,Terminal 3,Terminal 4,Terminal 5,Terminal 6,Terminal 7,Terminal 8,Tom Bradley International Terminal
10/2016,0,231923,809804,86861,694024,686411,797851,626166,629985,313343,60237
11/2016,0,219082,802924,83863,673080,661615,782236,575216,605637,284227,47705
12/2016,0,223872,790819,99350,662039,681973,829430,605195,632427,293179,47400
01/2017,0,221813,721092,82804,649578,611749,764006,547478,530155,275267,45492
02/2017,0,208523,652552,64496,582896,530170,681357,541870,451602,254655,31056
03/2017,0,245046,807872,78520,697236,639622,846634,677561,561198,313677,40232
04/2017,0,224962,815007,81101,708513,635797,841245,645144,573932,302505,41929
05/2017,0,229469,824127,294833,661061,661886,844338,614788,585459,328424,40948
06/2017,0,251329,836908,536426,643941,724617,897862,553655,614675,357763,39276
07/2017,0,260030,854942,564414,656183,775465,911348,572912,690215,334042,42940
08/2017,0,249889,819791,555366,649661,736440,894755,576635,660978,324599,41579
09/2017,0,234355,755709,459162,543457,643911,722612,516131,573908,258887,31740
10/2017,0,249247,840465,476509,607335,720709,772473,532440,649069,277220,34837
11/2017,0,237746,825781,442290,574692,659561,709393,522470,617827,263994,37325
12/2017,0,249620,799647,465157,567064,689506,739284,528294,688921,223737,45771
01/2018,0,222375,774880,412502,536974,623343,698387,488857,628267,187340,43261
02/2018,0,209460,694929,400310,508683,576968,643539,462995,580780,175454,29664
03/2018,0,236402,834602,444471,663305,701465,771933,526446,714993,207469,33268
04/2018,0,235137,804000,402017,698300,688024,751472,518936,655200,295319,24926
05/2018,0,245461,841724,394533,738493,721548,814200,541561,688863,329908,35177
06/2018,0,241779,836381,464596,745858,756768,887872,559177,720040,366727,36003
07/2018,0,248138,845969,483987,791857,781491,939467,559965,777008,375173,44441
08/2018,0,248797,849729,485967,758871,752145,884855,541812,734494,352551,37842
09/2018,0,239115,749606,401485,620964,649429,745209,464209,596708,288127,19247
10/2018,0,254840,846085,435722,627594,722077,761280,499317,654515,303062,28178
11/2018,0,233840,825788,418293,586587,704461,757560,481549,671069,276881,27471
12/2018,0,241649,826040,491093,552450,748440,780039,473763,696354,280740,28914
01/2019,0,224614,762638,459129,517302,678052,724547,435955,609289,245934,28473
02/2019,0,213463,714364,445359,464500,638341,631810,406506,555525,220072,44998
03/2019,0,255827,853977,490475,644118,802214,760517,478827,719472,286864,30042
