TypeDescription,Score,Grade,Latitude,Longitude
FOOD SERVICE,85,C,38.923,-85.6697
SUPERMARKET WITH PROCESSING,100,,38.1872,-85.6371
FOOD SERVICE,95,A,38.165,0
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A,38.1528,-85.8027
"RETAIL-FOOD  10,000 SQ FT OR LESS",94,,38.1528,-85.8027
FOOD SERVICE,99,A,38.2581,-85.6391
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,97,A,38.1389,-85.647
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A,38.1792,-85.6334
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A,38.266,-85.7933
FOOD SERVICE,99,A,38.1844,-85.7406
FOOD SERVICE,100,A,38.1844,-85.7406
"RETAIL-FOOD  10,001 SQ FT OR OVER",100,A,38.2382,-85.5745
"RETAIL-FOOD  10,001 SQ FT OR OVER",100,,38.2382,-85.5745
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.2775,-85.6984
FOOD SERVICE,,,38.2552,-85.7583
FOOD SERVICE,,,38.2548,-85.7584
FOOD SERVICE,97,,0,0
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.2176,-85.7077
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,,38.1723,-85.8129
FOOD SERVICE,100,,38.2631,-85.8168
"RETAIL-FOOD  10,000 SQ FT OR LESS",94,,38.1518,-85.7666
FOOD SERVICE,100,A,38.2529,-85.6606
PRE-PACKAGED RETAIL,98,,38.1757,-85.7773
FOOD SERVICE,97,A,38.1691,-85.6837
FOOD SERVICE,100,A,38.3403,-85.6214
FOOD SERVICE,96,B,38.2145,-85.7966
FOOD SERVICE,97,A,38.1582,-85.833
FOOD SERVICE,99,A,38.1757,-85.648
CATERERS,100,A,38.2552,-85.7213
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.1802,-85.6271
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.1792,-85.6334
FOOD SERVICE COMMISSARY,,,38.193,-85.7405
"RETAIL-FOOD  10,001 SQ FT OR OVER",99,,38.1715,-85.8703
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2507,-85.7849
FOOD SERVICE,86,C,38.2498,-85.7943
"RETAIL-FOOD  10,001 SQ FT OR OVER",,,38.1042,-85.7565
FOOD SERVICE,99,A,38.3015,-85.5454
FOOD SERVICE,99,A,38.1961,-85.6537
FOOD SERVICE (HOSPITAL / NURSING HOME,98,A,38.2191,-85.7103
FOOD SERVICE,,,38.2553,-85.7574
FOOD SERVICE,97,,38.2535,-85.7413
"RETAIL-FOOD  10,000 SQ FT OR LESS",94,A,38.1493,-85.7618
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1961,-85.5714
FOOD SERVICE,99,A,38.2419,-85.5762
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.2495,-85.7787
FOOD SERVICE,96,A,38.2135,-85.7556
FOOD SERVICE,100,A,38.1823,-85.6695
FOOD SERVICE,98,A,38.2168,-85.5869
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,96,A,38.2553,-85.8076
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2474,-85.7981
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1825,-85.8618
FOOD SERVICE,99,A,38.986,-85.8716
FOOD SERVICE,97,A,38.1053,-85.8618
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,,38.1819,-85.627
FOOD SERVICE,99,A,38.224,-85.6913
FOOD SERVICE,95,A,38.2304,-85.7498
FOOD SERVICE,,,38.1388,-85.6828
FOOD SERVICE,94,A,38.2489,-85.455
FOOD SERVICE,99,A,38.2042,-85.7718
FOOD SERVICE,100,A,38.204,-85.7721
FOOD SERVICE,98,A,38.2042,-85.7718
PRE-PACKAGED RETAIL,99,,38.2167,-85.5948
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A,38.2506,-85.7209
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.2506,-85.7209
FOOD SERVICE,97,A,38.2471,-85.6237
FOOD SERVICE,100,A,38.15,-85.3724
FOOD SERVICE,99,A,38.1977,-85.6566
FOOD SERVICE,98,A,38.1778,-85.6216
FOOD SERVICE,100,A,38.2042,-85.7718
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.2023,-85.7701
FOOD SERVICE,99,A,38.2042,-85.7716
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2492,-85.6521
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.1579,-85.8333
"RETAIL-FOOD  10,000 SQ FT OR LESS",,,0,0
"RETAIL-FOOD  10,000 SQ FT OR LESS",,,0,0
FOOD SERVICE,100,A,38.2479,-85.6234
FOOD SERVICE,98,A,38.2521,-85.6544
PRE-PACKAGED RETAIL,94,A,38.2504,-85.751
FOOD SERVICE,96,A,38.2178,-85.7556
FOOD SERVICE,96,A,38.131,-85.453
FOOD SERVICE,95,A,38.1539,-85.8028
SUPERMARKET WITH PROCESSING,79,,38.2657,-85.782
FOOD SERVICE,100,A,38.2544,-85.6934
FOOD SERVICE,100,A,38.2534,-85.7063
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.1799,-85.7838
FOOD SERVICE,,,38.1819,-85.637
FOOD SERVICE,,,38.1518,-85.8348
"RETAIL-FOOD  10,000 SQ FT OR LESS",91,,38.3396,-85.5565
"RETAIL-FOOD  10,000 SQ FT OR LESS",94,A,38.2498,-85.8208
"RETAIL-FOOD  10,000 SQ FT OR LESS",95,,38.2498,-85.8208
FOOD SERVICE,98,A,38.239,-85.7581
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,A,38.2188,-85.5977
SUPERMARKET WITH PROCESSING,92,,38.2106,-85.6397
FOOD SERVICE,100,A,38.2475,-85.7477
PRE-PACKAGED RETAIL,100,,38.2504,-85.751
FOOD SERVICE,97,A,38.2166,-85.7587
FOOD SERVICE,100,A,38.1522,-85.5889
STATIONARY RESTRICTED CONCESSON,97,,38.2057,-85.8
"RETAIL-FOOD  10,001 SQ FT OR OVER",97,A,38.2785,0
FOOD SERVICE,98,A,38.1288,-85.8815
FOOD SERVICE,93,A,38.2361,-85.7167
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.2176,-85.7077
PRE-PACKAGED RETAIL,100,,38.2354,-85.5767
FOOD SERVICE,99,A,38.1283,-85.6808
PRE-PACKAGED RETAIL,94,,0,0
FOOD SERVICE,91,A,38.2245,-85.7605
STATIONARY RESTRICTED CONCESSON,99,,38.1972,-85.7655
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,A,38.1799,-85.7838
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A,38.2578,-85.8188
FOOD SERVICE,97,A,38.131,-85.423
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.1493,-85.7618
FOOD SERVICE,94,A,38.2463,-85.7553
FOOD SERVICE,96,A,38.2029,-85.7812
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,A,38.2833,-85.6284
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1737,-85.6787
SUPERMARKET WITH PROCESSING,97,,38.1712,-85.7677
SCHOOL CAFETERIA OR FOOD SERVICE,96,A,38.2331,-85.6165
RETAIL WITH LIMITED SERVICE,99,,38.254,-85.8131
FOOD SERVICE,95,A,38.2494,-85.7836
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,A,38.3138,-85.5757
FOOD SERVICE,93,A,38.918,-85.6679
FOOD SERVICE,96,A,0,0
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.143,-85.8365
FOOD SERVICE,97,A,38.128,-85.8513
FOOD SERVICE,97,A,38.2309,-85.6406
PRE-PACKAGED RETAIL,98,,38.2001,-85.6918
FOOD SERVICE,,,38.978,-85.678
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,97,A,38.1424,-85.6863
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1517,-85.5461
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.1926,-85.8094
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,,38.1926,-85.8094
FOOD SERVICE,,,38.2214,-85.5781
FOOD SERVICE,,,38.2145,-85.7966
FOOD SERVICE,,,38.3086,-85.5629
"RETAIL-FOOD  10,000 SQ FT OR LESS",,,38.3396,-85.5565
SCHOOL CAFETERIA OR FOOD SERVICE,,,38.2073,-85.6742
PRE-PACKAGED RETAIL,,,38.2141,-85.743
PRE-PACKAGED RETAIL,,,38.2141,-85.743
FOOD SERVICE,,,38.2489,-85.7879
"RETAIL-FOOD  10,000 SQ FT OR LESS",93,,38.2631,-85.8163
"RETAIL-FOOD  10,000 SQ FT OR LESS",92,A,38.1024,-85.8691
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.2195,-85.794
FOOD SERVICE COMMISSARY,99,,38.25323,-85.78167
FOOD SERVICE,100,A,38.2448,-85.7516
FOOD SERVICE,97,A,38.1137,-85.841
FOOD SERVICE,97,A,38.937,-85.8752
FOOD SERVICE,100,A,38.2581,-85.6391
FOOD SERVICE,100,A,38.2521,-85.6609
FOOD SERVICE,100,A,38.2587,-85.7
FOOD SERVICE,100,A,38.2135,-85.5943
FOOD SERVICE,100,A,38.302,-85.5578
FOOD SERVICE,98,A,38.302,-85.5578
FOOD SERVICE,99,A,38.3245,-85.5673
FOOD SERVICE,98,A,38.20255,-85.78037
FOOD SERVICE,100,A,38.1598,-85.7801
FOOD SERVICE,97,A,38.1352,-85.6833
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.1851,-85.6394
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A,38.1924,-85.6464
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,,38.1924,-85.6464
"RETAIL-FOOD  10,000 SQ FT OR LESS",95,A,38.1541,-85.5892
FOOD SERVICE,99,A,38.2531,-85.7375
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A,38.2226,-85.6691
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.2226,-85.6691
FOOD SERVICE,100,A,38.2458,-85.7483
FOOD SERVICE,99,A,38.2467,-85.7494
FOOD SERVICE,92,A,38.2919,-85.6766
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.254,-85.695
FOOD SERVICE,97,A,38.2206,-85.6273
FOOD SERVICE,100,A,38.3071,-85.5761
FOOD SERVICE,92,A,38.1778,-85.8198
PRE-PACKAGED RETAIL,96,,38.269,-85.7947
FOOD SERVICE,,,38.2533,-85.396
FOOD SERVICE,,,38.2534,-85.7572
FOOD SERVICE,,,38.2544,-85.7585
"RETAIL-FOOD  10,000 SQ FT OR LESS",,,38.2541,-85.6547
FOOD SERVICE,100,A,38.2528,-85.6578
PRE-PACKAGED RETAIL,98,,38.2428,-85.7842
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1985,-85.8103
PRE-PACKAGED RETAIL,96,,38.2734,-85.7976
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1091,-85.8343
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,A,38.2111,-85.6406
FOOD SERVICE,,,38.2348,-85.6302
FOOD SERVICE COMMISSARY,100,A,38.2539,-87.7812
FOOD SERVICE,94,A,38.2207,-85.7616
FOOD SERVICE,99,A,38.2207,-85.7618
FOOD SERVICE,100,A,38.2315,-85.7904
FOOD SERVICE,98,A,38.1958,-85.8414
FOOD SERVICE,97,A,38.1725,-85.8254
FOOD SERVICE,97,A,38.14,-85.375
SUPERMARKET WITH PROCESSING,98,,38.2055,-85.7651
FOOD SERVICE,100,A,38.2508,-85.6377
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,A,37.245,-85.649
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,A,38.2458,-85.5751
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2438,-85.8203
FOOD SERVICE,94,A,38.1975,-85.6565
"RETAIL-FOOD  10,000 SQ FT OR LESS",95,A,0,0
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.1173,-85.8957
FOOD SERVICE,,,38.193,-85.8071
FOOD SERVICE,,,38.205,-85.751
FOOD SERVICE,,,38.2597,-85.744
"RETAIL-FOOD  10,000 SQ FT OR LESS",,,38.2519,-85.6576
FOOD SERVICE,96,,0,0
FOOD SERVICE,,,38.2883,-85.5789
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.2502,-85.7568
SUPERMARKET WITH PROCESSING,100,,38.1567,-85.7649
PRE-PACKAGED RETAIL,100,,38.2458,-85.7436
FOOD SERVICE,100,A,38.2462,-85.7328
FOOD SERVICE (HOSPITAL / NURSING HOME,99,A,38.2562,-85.7053
FOOD SERVICE,100,A,38.2566,-85.7524
FOOD SERVICE,100,A,38.2514,-85.7577
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.2432,-85.7232
PRE-PACKAGED RETAIL,100,,38.1706,-85.709
PRE-PACKAGED RETAIL,100,,38.2586,-85.7397
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A,38.2047,0
FOOD SERVICE,100,A,38.3801,-85.5591
FOOD SERVICE,99,A,38.152,-85.454
FOOD SERVICE,100,A,38.152,-85.454
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.1836,-85.6395
FOOD SERVICE,100,A,38.1292,-85.5751
FOOD SERVICE,98,A,38.152,-85.454
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.2232,-85.6693
FOOD SERVICE,96,A,38.1969,-85.8054
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.1959,-85.8051
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,97,A,38.2492,-85.68
"RETAIL-FOOD  10,001 SQ FT OR OVER",100,,38.1944,-85.7645
FOOD SERVICE,98,A,38.3113,-85.5717
FOOD SERVICE,99,A,38.1926,-85.7286
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A,38.1945,-85.8052
FOOD SERVICE,95,A,38.1075,-85.8652
FOOD SERVICE,97,A,38.1505,-85.8377
PRE-PACKAGED RETAIL,98,,38.2453,-85.7515
FOOD SERVICE,96,A,38.1982,-85.7081
FOOD SERVICE,99,A,38.142,-85.4345
FOOD SERVICE,97,A,38.138,-85.443
FOOD SERVICE,100,A,38.1416,-85.6699
FOOD SERVICE,100,A,38.1828,-85.8155
FOOD SERVICE,92,C,38.2489,-85.7879
FOOD SERVICE,100,,38.26035,-85.71706
FOOD SERVICE,100,,38.2532,-85.7816
CATERERS,97,A,38.303,-85.5527
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.2054,-85.7705
FOOD SERVICE,99,A,38.1989,-85.7418
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A,38.293,-85.5594
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,98,A,38.2435,-85.7363
PRE-PACKAGED RETAIL,98,,38.1401,-85.6648
FOOD SERVICE,100,A,38.2566,-85.7169
PRE-PACKAGED RETAIL,,,0,0
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.2514,-85.7438
FOOD SERVICE,100,A,38.2526,-85.6523
FOOD SERVICE,100,A,38.2533,-85.7572
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,,38.1268,-85.7754
FOOD SERVICE,95,A,38.694,-85.8988
FOOD SERVICE,96,A,38.2419,-85.7817
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.2488,-85.7612
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2477,-85.7583
FOOD SERVICE,98,A,38.23,-85.6733
FOOD SERVICE,98,A,38.248,-85.7956
SCHOOL CAFETERIA OR FOOD SERVICE,99,A,38.2187,-85.6716
FOOD SERVICE,95,A,38.2381,-85.7209
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2202,-85.6426
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2233,-85.6338
"RETAIL-FOOD  10,001 SQ FT OR OVER",100,,38.1649,-85.569
SCHOOL CAFETERIA OR FOOD SERVICE,98,A,38.2636,-85.6525
FOOD SERVICE,99,A,38.1502,-85.6598
FOOD SERVICE,98,A,38.3055,-85.6598
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1406,-85.6176
FOOD SERVICE,97,A,38.2006,-85.7331
FOOD SERVICE,99,A,38.2348,-85.6389
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,A,38.2007,-85.751
PRE-PACKAGED RETAIL,100,,38.2105,-85.765
PRE-PACKAGED RETAIL,98,,38.1863,-85.7236
FOOD SERVICE,95,A,38.1949,-85.8425
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.1877,-85.6671
FOOD SERVICE,100,A,38.2288,-85.7016
FOOD SERVICE,100,A,38.2389,-85.7208
FOOD SERVICE,94,A,38.2144,-85.7508
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A,38.1658,-85.7316
FOOD SERVICE,98,A,38.866,-85.6692
FOOD SERVICE,100,A,38.2503,-85.6247
FOOD SERVICE,97,A,38.2502,-85.6237
FOOD SERVICE,100,A,38.2479,-85.6234
FOOD SERVICE,98,A,38.152,-85.454
FOOD SERVICE,99,A,38.2633,-85.6377
PRE-PACKAGED RETAIL,99,,38.2348,-85.7178
FOOD SERVICE,,,38.2239,-85.7529
FOOD SERVICE,99,A,38.2359,-85.7323
FOOD SERVICE,94,A,38.153,-85.8029
"RETAIL-FOOD  10,001 SQ FT OR OVER",100,,38.1427,-85.5872
FOOD SERVICE,93,A,38.2893,-85.7833
FOOD SERVICE,95,A,38.2535,-85.7808
FOOD SERVICE,96,A,38.2257,-85.5759
FOOD SERVICE,98,A,38.22053,-85.58385
FOOD SERVICE,98,A,38.2203,-85.6356
FOOD SERVICE,96,A,38.3039,-85.5339
FOOD SERVICE,97,A,38.2948,-85.5527
FOOD SERVICE,99,B,38.2902,-85.5111
FOOD SERVICE,96,A,38.2673,-85.6607
FOOD SERVICE,98,A,38.1702,-85.7639
FOOD SERVICE,97,A,38.2407,-85.7249
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.2964,-85.5527
FOOD SERVICE,97,A,38.2003,-85.7407
FOOD SERVICE,100,A,38.2003,-85.545
"RETAIL-FOOD  10,001 SQ FT OR OVER",95,A,38.1399,-85.6796
FOOD SERVICE,97,A,38.1971,-85.7941
FOOD SERVICE,99,A,38.1527,-85.5886
"RETAIL-FOOD  10,001 SQ FT OR OVER",100,A,38.2127,-85.5919
SUPERMARKET WITH PROCESSING,94,,38.2451,-85.7648
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.2457,-85.5739
FOOD SERVICE,94,A,38.2287,-85.7377
FOOD SERVICE,100,A,38.1989,-85.7418
FOOD SERVICE,,,38.2706,-85.7883
FOOD SERVICE,98,A,38.1644,-85.5983
FOOD SERVICE,100,A,38.2574,-85.7601
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.1533,-85.587
STATIONARY RESTRICTED CONCESSON,99,,38.2141,-85.6878
FOOD SERVICE COMMISSARY,98,A,38.2535,-85.7816
FOOD SERVICE,99,A,38.2829,-85.632
FOOD SERVICE,98,A,38.2043,-85.7636
FOOD SERVICE,95,A,38.2206,-85.2613
"RETAIL-FOOD  10,001 SQ FT OR OVER",95,,38.2271,-85.8067
FOOD SERVICE,98,A,38.1693,-85.6077
FOOD SERVICE,100,A,38.203,-85.6836
FOOD SERVICE,96,A,38.2135,-85.7421
FOOD SERVICE,96,A,38.1565,-85.8339
FOOD SERVICE,100,A,38.1215,-85.856
FOOD SERVICE,95,A,38.3116,-85.5736
PRE-PACKAGED RETAIL,96,,38.2009,-85.6851
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.3155,-85.5619
FOOD SERVICE,99,A,38.2515,-85.7608
FOOD SERVICE,100,A,38.2867,-85.5758
FOOD SERVICE,94,A,38.1967,-85.8403
FOOD SERVICE,84,C,38.1573,-85.7058
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2477,-85.7708
STATIONARY RESTRICTED CONCESSON,99,,38.2253,-85.6936
FOOD SERVICE,92,C,38.2503,-85.6407
FOOD SERVICE,100,A,38.2629,-85.7308
FOOD SERVICE,99,A,38.2245,-85.5759
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2169,-85.5978
FOOD SERVICE,99,A,38.188,-85.6079
FOOD SERVICE,96,A,38.347,0
FOOD SERVICE,87,C,38.1358,-85.7159
"RETAIL-FOOD  10,000 SQ FT OR LESS",,,38.3002,-85.5414
FOOD SERVICE,97,A,38.253,-85.6523
FOOD SERVICE,99,A,38.25323,-85.78167
FOOD SERVICE,98,A,38.2377,-85.719
FOOD SERVICE,97,A,38.3396,-85.5565
FOOD SERVICE,90,A,38.1419,-85.8408
FOOD SERVICE,97,A,38.1419,-85.8651
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.1241,-85.7477
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1081,-85.8721
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,,38.2459,-85.5763
FOOD SERVICE,99,A,38.211,-85.5944
"RETAIL-FOOD  10,001 SQ FT OR OVER",100,A,38.1884,-85.6078
FOOD SERVICE,99,A,38.2516,-85.6399
FOOD SERVICE,98,A,38.2513,-85.6235
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,A,38.3071,-85.5746
FOOD SERVICE,97,A,38.175,-85.3038
SUPERMARKET WITH PROCESSING,95,,38.2002,-85.6868
FOOD SERVICE,99,A,38.131,-85.453
FOOD SERVICE,95,A,38.2223,0
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,98,A,38.1273,-85.796
FOOD SERVICE,95,B,38.1431,-85.839
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.2369,-85.7818
FOOD SERVICE,,,38.1952,-85.5668
FOOD SERVICE,,,38.1952,-85.5668
FOOD SERVICE,,,38.2558,-85.7599
FOOD SERVICE,98,A,38.218,-85.5887
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.2864,-85.5726
FOOD SERVICE,100,A,38.2785,-85.6381
FOOD SERVICE,96,A,0,0
FOOD SERVICE,100,A,38.2094,-85.6522
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.1743,-85.8307
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,98,A,38.3209,-85.5671
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1084,-85.8436
FOOD SERVICE,98,A,38.1955,-85.8022
FOOD SERVICE,94,A,38.14468,-85.83891
FOOD SERVICE,100,A,38.2042,-85.7569
FOOD SERVICE,100,A,38.2058,-85.7591
FOOD SERVICE,99,A,38.2058,-85.7591
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,A,38.2259,-85.5787
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A,38.23,-85.7032
FOOD SERVICE,100,A,38.2592,-85.7555
FOOD SERVICE,99,A,38.2546,-85.7476
FOOD SERVICE,88,C,38.3392,-85.6233
PRE-PACKAGED RETAIL,97,,38.2349,-85.7274
FOOD SERVICE,,,38.1415,-85.6708
FOOD SERVICE,100,A,38.2504,-85.6246
PRE-PACKAGED RETAIL,97,,38.2064,-85.5787
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,,38.1708,-85.7677
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,,38.1574,-85.6964
PRE-PACKAGED RETAIL,100,,38.2467,-85.7657
FOOD SERVICE,98,A,38.2485,0
FOOD SERVICE,,,38.1308,-85.8743
"RETAIL-FOOD  10,000 SQ FT OR LESS",,,38.1343,-85.6846
"RETAIL-FOOD  10,000 SQ FT OR LESS",,,38.1343,-85.6846
FOOD SERVICE,98,A,38.1017,-85.867
FOOD SERVICE,95,A,38.1547,-85.8018
FOOD SERVICE,96,A,38.1724,-85.8659
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.3066,-85.11111
FOOD SERVICE,94,A,38.2246,-85.7919
PRE-PACKAGED RETAIL,98,,38.1999,-85.8029
FOOD SERVICE,100,A,38.2007,-85.686
FOOD SERVICE,95,A,38.208,-85.7878
FOOD SERVICE,99,A,38.255,-85.7529
FOOD SERVICE,98,A,38.2061,-85.7643
PRE-PACKAGED RETAIL,100,,0,0
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,A,38.3243,-85.5653
FOOD SERVICE,97,,38.2314,-85.7502
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.1657,-85.6009
FOOD SERVICE,100,A,38.168,-85.6049
FOOD SERVICE,93,A,38.1834,-85.8152
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,37.245,-85.649
"RETAIL-FOOD  10,001 SQ FT OR OVER",,,38.2785,0
FOOD SERVICE,99,A,38.128,-85.6809
FOOD SERVICE,98,A,38.2136,-85.7836
CATERERS,96,A,38.23,0
FOOD SERVICE,100,A,38.2322,-85.6482
SCHOOL CAFETERIA OR FOOD SERVICE,99,A,38.1978,-85.6339
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.1887,-85.6389
FOOD SERVICE,100,A,0,0
FOOD SERVICE (HOSPITAL / NURSING HOME,93,A,38.226,-85.7275
FOOD SERVICE,95,A,38.1995,-85.66
FOOD SERVICE,99,A,38.2003,-85.7407
FOOD SERVICE,100,A,38.15404,-85.41551
FOOD SERVICE (HOSPITAL / NURSING HOME,100,A,38.1217,-85.6442
FOOD SERVICE,,,38.208,-85.7878
FOOD SERVICE,100,A,38.2513,-85.756
FOOD SERVICE,98,,38.2526,-85.659
FOOD SERVICE,100,A,38.2575,-85.7621
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.2421,-85.7587
FOOD SERVICE,,,38.2223,0
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.1835,-85.7997
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1745,-85.7817
FOOD SERVICE,98,A,38.163,-85.678
FOOD SERVICE,96,A,38.2024,-85.834
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2378,-85.7869
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1712,-85.6907
FOOD SERVICE,99,A,37.1852,-85.7006
FOOD SERVICE,95,A,0,0
FOOD SERVICE,99,A,38.2522,-85.6548
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.3373,-85.6235
FOOD SERVICE,98,A,38.2084,-85.6679
FOOD SERVICE,100,A,38.2522,-85.757
FOOD SERVICE,100,A,38.2478,-85.7508
FOOD SERVICE,98,A,38.2162,-85.576
FOOD SERVICE,99,A,38.2058,-85.7591
FOOD SERVICE,100,A,38.2058,-85.7591
FOOD SERVICE,100,A,38.2464,-85.6856
FOOD SERVICE,100,A,38.205,-85.7587
FOOD SERVICE,99,A,38.136,-85.6845
PRE-PACKAGED RETAIL,100,,38.1702,-85.7693
FOOD SERVICE,98,A,38.1735,0
FOOD SERVICE,97,A,38.2481,-85.7576
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,A,38.4443,-85.3268
CATERERS,100,A,38.2281,-85.6848
CATERERS,97,A,38.129,-85.463
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A,38.1978,-85.5687
FOOD SERVICE,100,A,38.2152,-85.7419
FOOD SERVICE,100,A,38.2392,-85.5777
FOOD SERVICE,94,A,38.26,-85.7084
FOOD SERVICE,97,A,38.2043,-85.7907
"RETAIL-FOOD  10,001 SQ FT OR OVER",100,A,38.1649,-85.569
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,A,38.2149,-85.7531
FOOD SERVICE,93,A,38.2205,-85.7774
