DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/01/2014 12:00:00 AM,2010/08/01,Misc. Terminal,Departure,Domestic,2798377
05/01/2014 12:00:00 AM,2010/09/01,Misc. Terminal,Arrival,Domestic,2365147
05/01/2014 12:00:00 AM,2010/09/01,Misc. Terminal,Departure,Domestic,2330248
05/01/2014 12:00:00 AM,2010/10/01,Imperial Terminal,Arrival,Domestic,2478150
05/01/2014 12:00:00 AM,2010/10/01,Misc. Terminal,Departure,Domestic,2509935
05/01/2014 12:00:00 AM,2010/11/01,Misc. Terminal,Arrival,Domestic,2341774
05/01/2014 12:00:00 AM,2010/11/01,Misc. Terminal,Departure,Domestic,2347308
05/01/2014 12:00:00 AM,2010/12/01,Imperial Terminal,Arrival,Domestic,2477626
05/01/2014 12:00:00 AM,2010/12/01,Misc. Terminal,Departure,Domestic,2572231
05/01/2014 12:00:00 AM,2011/01/01,Misc. Terminal,Arrival,Domestic,2347717
05/01/2014 12:00:00 AM,2011/01/01,Misc. Terminal,Departure,Domestic,2315464
05/01/2014 12:00:00 AM,2011/02/01,Misc. Terminal,Arrival,Domestic,2067592
05/01/2014 12:00:00 AM,2011/02/01,Misc. Terminal,Departure,Domestic,2053944
05/01/2014 12:00:00 AM,2011/03/01,Misc. Terminal,Arrival,Domestic,2474690
05/01/2014 12:00:00 AM,2011/03/01,Misc. Terminal,Departure,Domestic,2477109
05/01/2014 12:00:00 AM,2011/04/01,Misc. Terminal,Arrival,Domestic,2554625
05/01/2014 12:00:00 AM,2011/04/01,Misc. Terminal,Departure,Domestic,2473591
05/01/2014 12:00:00 AM,2011/05/01,Imperial Terminal,Arrival,Domestic,2746189
05/01/2014 12:00:00 AM,2011/05/01,Imperial Terminal,Departure,Domestic,2730875
05/01/2014 12:00:00 AM,2011/06/01,Misc. Terminal,Arrival,Domestic,2783908
05/01/2014 12:00:00 AM,2011/06/01,Misc. Terminal,Departure,Domestic,2847808
05/01/2014 12:00:00 AM,2011/07/01,Misc. Terminal,Departure,Domestic,3011564
05/01/2014 12:00:00 AM,2011/07/01,Terminal 1,Arrival,Domestic,3059778
05/01/2014 12:00:00 AM,2011/08/01,Misc. Terminal,Arrival,Domestic,2969115
05/01/2014 12:00:00 AM,2011/08/01,Misc. Terminal,Departure,Domestic,2949409
05/01/2014 12:00:00 AM,2011/09/01,Misc. Terminal,Arrival,Domestic,2490037
05/01/2014 12:00:00 AM,2011/09/01,Misc. Terminal,Departure,Domestic,2490283
05/01/2014 12:00:00 AM,2011/10/01,Misc. Terminal,Arrival,Domestic,2520520
05/01/2014 12:00:00 AM,2011/10/01,Misc. Terminal,Departure,Domestic,2604084
05/01/2014 12:00:00 AM,2011/11/01,Misc. Terminal,Arrival,Domestic,2423752
05/01/2014 12:00:00 AM,2011/11/01,Misc. Terminal,Departure,Domestic,2441354
05/01/2014 12:00:00 AM,2011/12/01,Imperial Terminal,Arrival,Domestic,2501124
05/01/2014 12:00:00 AM,2011/12/01,Imperial Terminal,Departure,Domestic,2527520
05/01/2014 12:00:00 AM,2012/01/01,Imperial Terminal,Departure,Domestic,2442166
05/01/2014 12:00:00 AM,2012/01/01,Misc. Terminal,Arrival,Domestic,2471323
05/01/2014 12:00:00 AM,2012/02/01,Imperial Terminal,Departure,International,2236066
05/01/2014 12:00:00 AM,2012/02/01,Misc. Terminal,Arrival,Domestic,2220446
05/01/2014 12:00:00 AM,2012/03/01,Misc. Terminal,Arrival,Domestic,2619592
05/01/2014 12:00:00 AM,2012/03/01,Misc. Terminal,Departure,Domestic,2632965
05/01/2014 12:00:00 AM,2012/04/01,Misc. Terminal,Arrival,Domestic,2592176
05/01/2014 12:00:00 AM,2012/04/01,Misc. Terminal,Departure,Domestic,2568952
05/01/2014 12:00:00 AM,2012/05/01,Misc. Terminal,Arrival,Domestic,2698051
05/01/2014 12:00:00 AM,2012/05/01,Misc. Terminal,Departure,Domestic,2714895
05/01/2014 12:00:00 AM,2012/06/01,Misc. Terminal,Arrival,Domestic,2842245
05/01/2014 12:00:00 AM,2012/06/01,Misc. Terminal,Departure,Domestic,2897659
05/01/2014 12:00:00 AM,2012/07/01,Misc. Terminal,Arrival,Domestic,3119226
05/01/2014 12:00:00 AM,2012/07/01,Misc. Terminal,Departure,International,3071100
05/01/2014 12:00:00 AM,2012/08/01,Misc. Terminal,Arrival,Domestic,3049590
05/01/2014 12:00:00 AM,2012/08/01,Misc. Terminal,Departure,Domestic,3043755
05/01/2014 12:00:00 AM,2012/09/01,Misc. Terminal,Arrival,Domestic,2537309
05/01/2014 12:00:00 AM,2012/09/01,Misc. Terminal,Departure,Domestic,2516948
05/01/2014 12:00:00 AM,2012/10/01,Misc. Terminal,Arrival,Domestic,2598430
05/01/2014 12:00:00 AM,2012/10/01,Misc. Terminal,Departure,Domestic,2593041
05/01/2014 12:00:00 AM,2012/11/01,Misc. Terminal,Arrival,Domestic,2462782
05/01/2014 12:00:00 AM,2012/11/01,Misc. Terminal,Departure,Domestic,2480891
